ticker,Unnamed: 0,days,T,r_zc,BS,Rab,Rab_minus_BS,sigma2T,vr2I2,two_svrI1,share_v,share_rho,Rab_minus_BS_pct,source_file
AAPL,0,7,0.027777778,0.043574543,64.2181887,64.21705807,-0.001130631,0.036047452,6.51E-10,8.44E-06,1.81E-08,2.53E-05,-1.76E-05,AAPL_sensitivities.csv
AAPL,1,14,0.055555556,0.043574543,66.74101649,66.74289192,0.001875429,0.072094905,4.73E-09,3.23E-05,6.56E-08,4.84E-05,2.81E-05,AAPL_sensitivities.csv
AAPL,2,21,0.083333333,0.043574543,69.56920544,69.57678505,0.007579613,0.108142357,1.45E-08,6.97E-05,1.34E-07,6.96E-05,0.000108951,AAPL_sensitivities.csv
AAPL,3,30,0.119047619,0.043574543,73.13185157,73.14951481,0.017663237,0.154489082,3.76E-08,0.000134938,2.43E-07,9.42E-05,0.000241526,AAPL_sensitivities.csv
AAPL,4,60,0.238095238,0.043492966,83.56802684,83.63383564,0.065808795,0.308978164,2.08E-07,0.000457175,6.74E-07,0.000159654,0.000787488,AAPL_sensitivities.csv
AAPL,5,90,0.357142857,0.043395074,92.21281594,92.33632798,0.123512044,0.463467246,5.05E-07,0.000884727,1.09E-06,0.000205976,0.001339424,AAPL_sensitivities.csv
AAPL,6,120,0.476190476,0.0432491,99.64235123,99.82729557,0.184944335,0.617956328,8.89E-07,0.001371496,1.44E-06,0.000239476,0.001856082,AAPL_sensitivities.csv
AAPL,7,180,0.714285714,0.042950284,112.0838925,112.3884109,0.304518434,0.926934492,1.80E-06,0.002430349,1.94E-06,0.000282908,0.00271688,AAPL_sensitivities.csv
AAPL,8,252,1,0.042945729,124.2341728,124.64591,0.411737217,1.297708289,2.98E-06,0.003758023,2.30E-06,0.00031247,0.003314203,AAPL_sensitivities.csv
AAPL,9,504,2,0.042965073,154.0179376,154.6581749,0.640237305,2.595416578,7.28E-06,0.00847816,2.80E-06,0.000352468,0.004156901,AAPL_sensitivities.csv
ISP,0,7,0.027777778,0.020078149,3.843463551,3.843422261,-4.13E-05,0.126086541,1.95E-10,8.59E-06,1.54E-09,2.13E-05,-1.07E-05,ISP_sensitivities.csv
ISP,1,14,0.055555556,0.020078149,3.844170415,3.844095679,-7.47E-05,0.252173082,1.53E-09,3.41E-05,6.09E-09,4.24E-05,-1.94E-05,ISP_sensitivities.csv
ISP,2,21,0.083333333,0.020078149,3.846496255,3.846396123,-0.000100133,0.378259623,5.11E-09,7.63E-05,1.35E-08,6.31E-05,-2.60E-05,ISP_sensitivities.csv
ISP,3,30,0.119047619,0.020078149,3.853616741,3.853495547,-0.000121193,0.540370889,1.46E-08,0.000154491,2.71E-08,8.95E-05,-3.14E-05,ISP_sensitivities.csv
ISP,4,60,0.238095238,0.019887949,3.904605901,3.904527063,-7.88E-05,1.080741779,1.10E-07,0.000601736,1.02E-07,0.000174262,-2.02E-05,ISP_sensitivities.csv
ISP,5,90,0.357142857,0.019676616,3.973366865,3.973431366,6.45E-05,1.621112668,3.51E-07,0.001318823,2.16E-07,0.000254619,1.62E-05,ISP_sensitivities.csv
ISP,6,120,0.476190476,0.019352821,4.044026669,4.044320407,0.000293738,2.161483557,7.84E-07,0.002284636,3.63E-07,0.000330813,7.26E-05,ISP_sensitivities.csv
ISP,7,180,0.714285714,0.018680241,4.173607346,4.174443542,0.000836196,3.242225336,2.36E-06,0.004886103,7.29E-07,0.000471669,0.000200353,ISP_sensitivities.csv
ISP,8,252,1,0.018182584,4.301952761,4.303321293,0.001368532,4.53911547,5.69E-06,0.009027365,1.25E-06,0.000622455,0.000318119,ISP_sensitivities.csv
ISP,9,504,2,0.017282602,4.576537341,4.57870349,0.00216615,9.078230941,2.98E-05,0.029798911,3.28E-06,0.001027347,0.000473316,ISP_sensitivities.csv
NVDA,0,7,0.027777778,0.043490745,120.1703661,120.1703333,-3.27E-05,0.517761797,8.00E-10,3.55E-05,1.54E-09,2.70E-06,-2.72E-07,NVDA_sensitivities.csv
NVDA,1,14,0.055555556,0.043490745,120.672899,120.6733357,0.000436727,1.035523593,5.75E-09,0.000135236,5.55E-09,5.15E-06,3.62E-06,NVDA_sensitivities.csv
NVDA,2,21,0.083333333,0.043490745,121.6216018,121.6228026,0.001200757,1.55328539,1.75E-08,0.00029049,1.13E-08,7.38E-06,9.87E-06,NVDA_sensitivities.csv
NVDA,3,30,0.119047619,0.043490745,123.1035493,123.1059025,0.002353136,2.218979128,4.48E-08,0.000559457,2.02E-08,9.95E-06,1.91E-05,NVDA_sensitivities.csv
NVDA,4,60,0.238095238,0.043367608,127.8590595,127.8651253,0.006065778,4.437958256,2.41E-07,0.001868672,5.42E-08,1.66E-05,4.74E-05,NVDA_sensitivities.csv
NVDA,5,90,0.357142857,0.04323079,131.3992212,131.4074335,0.008212233,6.656937384,5.70E-07,0.003575448,8.56E-08,2.12E-05,6.25E-05,NVDA_sensitivities.csv
NVDA,6,120,0.476190476,0.043031062,133.8935854,133.9026292,0.009043844,8.875916512,9.84E-07,0.005493031,1.11E-07,2.44E-05,6.75E-05,NVDA_sensitivities.csv
NVDA,7,180,0.714285714,0.042622619,136.8863283,136.8946107,0.00828238,13.31387477,1.94E-06,0.00961103,1.46E-07,2.85E-05,6.05E-05,NVDA_sensitivities.csv
NVDA,8,252,1,0.042779004,138.5954705,138.6009338,0.005463251,18.63942468,3.17E-06,0.014725282,1.70E-07,3.12E-05,3.94E-05,NVDA_sensitivities.csv
NVDA,9,504,2,0.043032782,139.9205424,139.9213594,0.000817028,37.27884935,7.56E-06,0.032815436,2.03E-07,3.47E-05,5.84E-06,NVDA_sensitivities.csv
